param,factor,value,peak_CL,peak_CM
Q_H,0.01,545.8992051707572,0.47824491638543287,0.10136721043517855
Q_H,0.1,5458.992051707573,0.47822573048497236,0.10144579328052761
Q_H,1.0,54589.92051707573,0.47765808439836005,0.10145872745693617
Q_H,10.0,545899.2051707573,0.4633727151326221,0.10090067088499617
Q_H,100.0,5458992.051707572,0.48928816751508325,0.10038268233970889
Q_H,1000.0,54589920.517075725,0.45345523449146746,0.09979435797305783
Q_A,0.01,1476.3873981477245,0.45196860061586885,0.10114239771968095
Q_A,0.1,14763.873981477245,0.455328388209448,0.1011559534545853
Q_A,1.0,147638.73981477245,0.47765808439836005,0.10145872745693617
Q_A,10.0,1476387.3981477246,0.4756323478542933,0.10148675649853481
Q_A,100.0,14763873.981477244,0.5276528165036232,0.09767050729145024
Q_A,1000.0,147638739.81477246,0.5771433397003028,0.09823474329190619
Q_CL,0.01,4.268834096031692,0.49198358924696484,0.09781943321430144
Q_CL,0.1,42.68834096031692,0.483156956106186,0.10153158002529424
Q_CL,1.0,426.8834096031692,0.47765808439836005,0.10145872745693617
Q_CL,10.0,4268.834096031692,0.4573053735650222,0.10157140280574417
Q_CL,100.0,42688.34096031692,0.4540855372343734,0.10155284629180016
Q_CL,1000.0,426883.4096031692,0.4537467729645272,0.10155082662961268
Q_CM,0.01,6.25,0.47776177410686016,0.10145839821628898
Q_CM,0.1,62.5,0.4777523351453277,0.10145844123714175
Q_CM,1.0,625.0,0.47765808439836005,0.10145872745693617
Q_CM,10.0,6250.0,0.4767297652400805,0.10146452418537893
Q_CM,100.0,62500.0,0.46889474842113865,0.1014912212843958
Q_CM,1000.0,625000.0,0.44940989611145027,0.10125118827434065
Q_w,0.01,0.0001,0.47765808439836005,0.10145872745693617
Q_w,0.1,0.001,0.47765808439836005,0.10145872745693617
Q_w,1.0,0.01,0.47765808439836005,0.10145872745693617
Q_w,10.0,0.1,0.47765808439836005,0.10145872745693617
Q_w,100.0,1.0,0.47765808439836005,0.10145872745693617
Q_w,1000.0,10.0,0.47765808439836005,0.10145872745693617
R,0.01,0.0025,0.47844934523241134,0.10148004298783522
R,0.1,0.025,0.47837483492690674,0.10147841855925817
R,1.0,0.25,0.47765808439836005,0.10145872745693617
R,10.0,2.5,0.4725408252890636,0.10160495773077836
R,100.0,25.0,0.46189329434265586,0.10112771880391619
R,1000.0,250.0,0.458013356751578,0.10081299301961262
