t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
6.32000000e-05,-6.49179387e-03,7.64837845e-07,-8.76343305e-04,8.14376439e-05,164.863314,-8.232202,0.000002,0.000000
1.89600000e-04,-6.49179363e-03,3.03149625e-06,-8.76332309e-04,9.25499807e-05,164.863336,-8.232235,0.000022,0.000000
3.16000000e-04,-6.49179310e-03,5.29724071e-06,-8.76319909e-04,1.03645092e-04,164.863381,-8.232299,0.000061,0.000000
4.42400000e-04,-6.49179229e-03,7.56205424e-06,-8.76306108e-04,1.14721728e-04,164.863454,-8.232394,0.000119,0.000000
5.68800000e-04,-6.49179119e-03,9.82591982e-06,-8.76290908e-04,1.25778638e-04,164.863559,-8.232519,0.000197,0.000000
6.95200000e-04,-6.49178981e-03,1.20888204e-05,-8.76274312e-04,1.36814579e-04,164.863702,-8.232670,0.000294,0.000000
8.21600000e-04,-6.49178814e-03,1.43507389e-05,-8.76256323e-04,1.47828306e-04,164.863892,-8.232847,0.000411,0.000000
9.48000000e-04,-6.49178618e-03,1.66116581e-05,-8.76236942e-04,1.58818582e-04,164.864138,-8.233046,0.000547,0.000000
1.07440000e-03,-6.49178394e-03,1.88715608e-05,-8.76216174e-04,1.69784171e-04,164.864451,-8.233263,0.000702,0.000000
1.20080000e-03,-6.49178141e-03,2.11304299e-05,-8.76194022e-04,1.80723842e-04,164.864842,-8.233496,0.000877,0.000000
1.32720000e-03,-6.49177860e-03,2.33882479e-05,-8.76170489e-04,1.91636365e-04,164.865323,-8.233740,0.001072,0.000000
1.45360000e-03,-6.49177550e-03,2.56449977e-05,-8.76145578e-04,2.02520518e-04,164.865907,-8.233991,0.001286,0.000000
1.58000000e-03,-6.49177211e-03,2.79006616e-05,-8.76119293e-04,2.13375079e-04,164.866608,-8.234244,0.001519,0.000000
1.70640000e-03,-6.49176844e-03,3.01943984e-05,-8.76091644e-04,2.23997003e-04,164.867439,-8.234497,0.001772,0.000000
1.83280000e-03,-6.49176447e-03,3.26145361e-05,-8.76062697e-04,2.33928477e-04,164.868413,-8.234742,0.002044,0.000000
1.95920000e-03,-6.49176019e-03,3.51232537e-05,-8.76032528e-04,2.43354547e-04,164.869544,-8.234978,0.002336,0.000000
2.05400000e-03,-6.49175677e-03,3.71049311e-05,-8.76009140e-04,2.49942645e-04,164.870845,-8.235197,0.002567,0.000000
2.18040000e-03,-6.49175191e-03,3.98009143e-05,-8.75977009e-04,2.58456135e-04,164.872327,-8.235397,0.002893,0.000000
2.30680000e-03,-6.49174671e-03,4.24953961e-05,-8.75943804e-04,2.66935267e-04,164.874002,-8.235573,0.003238,0.000000
2.43320000e-03,-6.49174117e-03,4.51872694e-05,-8.75909529e-04,2.75376925e-04,164.875881,-8.235720,0.003602,0.000000
2.55960000e-03,-6.49173529e-03,4.78555282e-05,-8.75874192e-04,2.83737810e-04,164.877973,-8.235835,0.003986,0.000000
2.68600000e-03,-6.49172907e-03,5.04916066e-05,-8.75837798e-04,2.92154752e-04,164.880286,-8.235914,0.004390,0.000000
2.81240000e-03,-6.49172253e-03,5.30693873e-05,-8.75800326e-04,3.00784061e-04,164.882827,-8.235954,0.004813,0.000000
2.93880000e-03,-6.49171566e-03,5.55425519e-05,-8.75761752e-04,3.09565317e-04,164.885602,-8.235951,0.005255,0.000000
3.06520000e-03,-6.49170848e-03,5.80001976e-05,-8.75722080e-04,3.18110363e-04,164.888616,-8.235902,0.005717,0.000000
3.19160000e-03,-6.49170100e-03,6.04310729e-05,-8.75681334e-04,3.26606346e-04,164.891871,-8.235806,0.006198,0.000000
3.31800000e-03,-6.49169321e-03,6.27863941e-05,-8.75639511e-04,3.35169604e-04,164.895369,-8.235661,0.006698,0.000000
3.44440000e-03,-6.49168513e-03,6.50634664e-05,-8.75596603e-04,3.43719172e-04,164.899110,-8.235464,0.007218,0.000000
3.57080000e-03,-6.49167676e-03,6.73443724e-05,-8.75552628e-04,3.52077344e-04,164.903093,-8.235214,0.007758,0.000000
3.69720000e-03,-6.49166811e-03,6.96315050e-05,-8.75507595e-04,3.60471838e-04,164.907317,-8.234911,0.008317,0.000000
3.82360000e-03,-6.49165916e-03,7.19166652e-05,-8.75461506e-04,3.68768301e-04,164.911777,-8.234553,0.008895,0.000000
3.95000000e-03,-6.49164993e-03,7.41873382e-05,-8.75414375e-04,3.76956554e-04,164.916471,-8.234142,0.009493,0.000000
