sim,field,region,arm,nrmse_mean,nrmse_std,vs_base_x,static_share,dyn_nrmse_fluctrange,n_seeds
sim_A_025,vy,wake,ms_tik_d10,3.0736e-03,3.1094e-04,2.4574e+00,7.3766e-02,9.0495e-03,5
sim_A_025,vy,wake,ms_wall,2.1169e-03,8.6206e-04,3.5682e+00,4.8365e-01,4.8133e-03,5
sim_A_025,vy,far,base,9.3700e-03,6.3205e-04,1.0000e+00,6.6450e-01,1.6555e-02,5
sim_A_025,vy,far,ms,3.2486e-03,8.6528e-04,2.8843e+00,3.8898e-01,7.7511e-03,5
sim_A_025,vy,far,ms_t0,3.7214e-03,1.0172e-03,2.5179e+00,4.0133e-01,8.9638e-03,5
sim_A_025,vy,far,ms_tik,3.4621e-03,9.2580e-04,2.7064e+00,3.2411e-01,8.7856e-03,5
sim_A_025,vy,far,ms_tik_d10,4.7675e-03,3.1088e-04,1.9654e+00,6.4707e-02,1.4089e-02,5
sim_A_025,vy,far,ms_wall,3.0702e-03,5.3360e-04,3.0519e+00,3.0208e-01,7.8761e-03,5
sim_A_025,vy,surface,base,3.7982e-02,1.1770e-02,1.0000e+00,9.7612e-01,1.6970e-02,5
sim_A_025,vy,surface,ms,9.1975e-03,1.2620e-03,4.1296e+00,4.2651e-01,2.1415e-02,5
sim_A_025,vy,surface,ms_t0,7.8338e-03,1.7515e-03,4.8484e+00,2.1893e-01,2.1226e-02,5
sim_A_025,vy,surface,ms_tik,1.0039e-02,1.5665e-03,3.7832e+00,3.8492e-01,2.4275e-02,5
sim_A_025,vy,surface,ms_tik_d10,1.2029e-02,5.6135e-05,3.1575e+00,2.7661e-01,3.1264e-02,5
sim_A_025,vy,surface,ms_wall,9.2729e-03,1.5762e-03,4.0960e+00,4.7099e-01,2.0852e-02,5
sim_A_025,p,all,base,4.2118e-02,7.2134e-04,1.0000e+00,9.7221e-01,1.4466e-02,5
sim_A_025,p,all,ms,7.8046e-03,1.1373e-03,5.3966e+00,1.8771e-01,1.4546e-02,5
sim_A_025,p,all,ms_t0,8.1383e-03,1.9274e-03,5.1753e+00,2.3029e-01,1.4788e-02,5
sim_A_025,p,all,ms_tik,8.8867e-03,1.9845e-03,4.7394e+00,1.4554e-01,1.7024e-02,5
sim_A_025,p,all,ms_tik_d10,1.1753e-02,6.2915e-05,3.5837e+00,8.3306e-02,2.3239e-02,5
sim_A_025,p,all,ms_wall,7.2251e-03,1.3181e-03,5.8294e+00,1.9843e-01,1.3408e-02,5
sim_A_025,p,near,base,5.5424e-02,9.4856e-04,1.0000e+00,9.7485e-01,1.8091e-02,5
sim_A_025,p,near,ms,9.7340e-03,1.2718e-03,5.6938e+00,1.4802e-01,1.8566e-02,5
sim_A_025,p,near,ms_t0,1.0189e-02,2.1883e-03,5.4394e+00,2.0519e-01,1.8789e-02,5
sim_A_025,p,near,ms_tik,1.1368e-02,2.5811e-03,4.8753e+00,1.1894e-01,2.2104e-02,5
sim_A_025,p,near,ms_tik_d10,1.5294e-02,1.0689e-04,3.6238e+00,8.1011e-02,3.0280e-02,5
sim_A_025,p,near,ms_wall,9.1235e-03,1.7918e-03,6.0749e+00,1.6991e-01,1.7225e-02,5
sim_A_025,p,wake,base,7.2571e-03,1.1183e-03,1.0000e+00,7.6788e-01,6.9743e-03,5
sim_A_025,p,wake,ms,3.5002e-03,3.3243e-04,2.0733e+00,5.5616e-01,4.8358e-03,5
sim_A_025,p,wake,ms_t0,3.2912e-03,8.8937e-04,2.2050e+00,4.4837e-01,5.1457e-03,5
sim_A_025,p,wake,ms_tik,2.8711e-03,3.0073e-04,2.5277e+00,4.5302e-01,4.3376e-03,5
