num_latent_states,num_params,NRMSE_CL,NRMSE_CM,1-rho_CL,1-rho_CM
5,2373,0.005066201784566297,0.005658238939494126,0.0004271991777280437,0.0004425391047364613
10,2568,0.008525480631140163,0.01960218097176396,0.0013180453358315747,0.00583101944681097
5,2373,0.01246673350836293,0.01870759540541057,0.002743808022680705,0.004903829412288507
1,2217,0.07629947210218152,0.0643266819022141,0.05407804988429277,0.031641408091212186
5,2373,0.0257681317879488,0.025275528556574504,0.012138404507913036,0.009685747786795762
1,2217,0.0824969449054657,0.05625664368962531,0.058720246574389345,0.024785484677595226
