W0,T_g,controller,peak_CL,peak_CL2,peak_CM,peak_h_ddot,amp_h,peak_alpha_deg,RMS_delta,peak_ddelta,peak_delta
20,1.0,open_loop,0.5207686777603979,0.5096888116794764,0.1182799818470344,6.12591408602725,0.028357386893703897,1.970274569885205,0.0,0.0,0.0
20,1.0,lqr_base,0.4766865339096496,0.3381188427161922,0.08822096503432583,3.973045419964193,0.017095912981147137,1.4504446763401648,18.784287053760227,1135.6630815972558,20.0
20,1.0,lqr_opt,0.45119372137973895,0.34175443883240925,0.08913346609518681,3.940801845661623,0.0172491331452376,1.4806317237908833,18.783736532438027,1121.8161063534196,20.0
40,1.0,open_loop,0.5251715450234671,0.0,0.12086203828881484,4.647256329589081,0.026267033216081967,1.8980338159493693,0.0,0.0,0.0
40,1.0,lqr_base,0.47717368555755135,0.31141241242852047,0.09009684201267915,3.9680214342718343,0.015197206654832682,1.4568606963215978,18.817059786423137,1139.9196062702688,20.0
40,1.0,lqr_opt,0.4518200361703597,0.3114452202572797,0.09108526492278216,3.9381493432863817,0.01527291978802948,1.4833967253597449,18.791675158915698,1125.1479890366309,20.0
60,1.0,open_loop,0.5199104520047237,0.0,0.12405546637117659,4.427445187969067,0.02702975350481738,1.950193606720225,0.0,0.0,0.0
60,1.0,lqr_base,0.47765808437039337,0.3052701770262364,0.09051576786856885,3.92055399413517,0.014835780669764957,1.4545052939805454,18.822391393085546,1133.380974766833,20.0
60,1.0,lqr_opt,0.4524449183403813,0.3052063806092501,0.09151420778176356,3.8913196356908246,0.014961334652442497,1.4844409733049917,18.817198134691818,1117.3222497119561,20.0
