W0,Tg,H_m,H_ft,arm,clexc,clred,adrms,flap_max,de_end,J,comp_ms,flag
10,0.5,20.0,65.61679790026247,open,0.20197971673267412,0.0,0.19092308918843282,0.0,0.0,0.011097909647984992,0.0011386581852307405,
10,0.5,20.0,65.61679790026247,prop,0.154034777090286,23.73750217000482,0.2304190667616628,1.5377062348662913,0.11238999162645402,0.013134023923686193,8.44399188753766,
10,0.5,20.0,65.61679790026247,mpc,0.08477040195119179,58.030240203085434,0.2845985688215209,5.8985404789131675,9.192371708790037e-201,0.04592944179811184,60.85761715046848,hdd!!
10,1.0,40.0,131.23359580052494,open,0.21912764500857895,0.0,0.10297738112388767,0.0,0.0,0.011136880776800489,0.0011121977038736108,
10,1.0,40.0,131.23359580052494,prop,0.13255629548593062,39.50726961870056,0.10853888066839455,1.3206769479426397,0.11272336227335615,0.008635416564357842,8.910590715130555,
10,1.0,40.0,131.23359580052494,mpc,0.08988468308503339,58.98067398957609,0.12823308406525,3.9975407548584005,1.6850860203159508e-48,0.029994381463515806,61.345391485500066,
10,2.0,80.0,262.4671916010499,open,0.0711155939895054,0.0,0.030352332616547847,0.0,0.0,0.0005005904937945796,0.0010999254658967158,
10,2.0,80.0,262.4671916010499,prop,0.06201021318521893,12.8036346087894,0.03401314005857319,0.5936339904438017,0.11315345797515503,0.0006119991646781749,8.32087143965259,
10,2.0,80.0,262.4671916010499,mpc,0.06997132372036241,1.6090286320491813,0.030955884174739854,1.924857809993221,6.479372799055721e-43,0.0021308614364288067,61.316467178172665,
20,0.5,20.0,65.61679790026247,open,0.3373198352653465,0.0,0.39139527664944157,0.0,0.0,0.035104879924816264,0.0010813275559356736,
20,0.5,20.0,65.61679790026247,prop,0.2956218750933103,12.361550022469109,0.44607024286272823,2.952888619045627,0.11239566702140769,0.04659726264233344,8.543437814648989,
20,0.5,20.0,65.61679790026247,mpc,0.2599139854290161,22.94731638755855,0.5368528987203992,6.604249333815764,8.484899345585241e-197,0.10309147341823685,61.497863004236,
20,1.0,40.0,131.23359580052494,open,0.4629412042947617,0.0,0.19711118947027093,0.0,0.0,0.05214742152655974,0.0011123422729341608,
20,1.0,40.0,131.23359580052494,prop,0.270695854916999,41.52694717909732,0.22007025525413504,2.70201080087379,0.11273449880399582,0.04063579803331749,8.349781468148274,
20,1.0,40.0,131.23359580052494,mpc,0.28572822597443104,38.27980241903386,0.28814569958005365,7.5645713365609355,8.34887602613086e-40,0.1339324223206973,62.38700285042667,
20,2.0,80.0,262.4671916010499,open,0.26056763500524005,0.0,0.057622333155641726,0.0,0.0,0.014613733333828578,0.0010931307200508702,
20,2.0,80.0,262.4671916010499,prop,0.14939121129935373,42.66701185035914,0.057212238599137516,1.488374373846949,0.11336071439036768,0.009416294770387051,8.31972739704544,
20,2.0,80.0,262.4671916010499,mpc,0.07983796754723915,69.35998304408236,0.06459034209708797,3.999967055463602,3.655929475227156e-19,0.029655288365117757,63.328828732746786,
30,0.5,20.0,65.61679790026247,open,0.4959151724414176,0.0,0.6323169652920103,0.0,0.0,0.09093384553894487,0.0011247249542276992,
30,0.5,20.0,65.61679790026247,prop,0.4781045591396914,3.5914636799764663,0.7786938565160479,4.771694765312252,0.1123887142726684,0.16508188816929092,8.03183672886384,
30,0.5,20.0,65.61679790026247,mpc,0.47402093075688756,4.414916683581886,0.7552893675653563,9.82412677818891,2.0504686289750725e-202,0.1695393460376191,59.30265822484444,
30,1.0,40.0,131.23359580052494,open,0.5746124015499797,0.0,0.28430580668105604,0.0,0.0,0.08727265014950097,0.0010977867124558765,
30,1.0,40.0,131.23359580052494,prop,0.4817548379294948,16.16003472427808,0.3446219613972076,4.81671757474741,0.11248373771702241,0.12282653198925342,8.237858004446112,
30,1.0,40.0,131.23359580052494,mpc,0.3085677079447112,46.299852367897074,0.45152922809217383,13.999999966938354,1.5284020217515657e-89,0.4842056791873004,59.24773080365051,
30,2.0,80.0,262.4671916010499,open,0.4557558025804286,0.0,0.10524502280804547,0.0,0.0,0.0631837773130359,0.0010973275660833147,
30,2.0,80.0,262.4671916010499,prop,0.3634346818819806,20.256707687699887,0.13016685425396218,3.6301140150274196,0.11383654763464453,0.07252488788566984,8.028936053041138,
30,2.0,80.0,262.4671916010499,mpc,0.3042090441981352,33.25174523818585,0.15015486281165827,5.999999999862194,2.7177715945981206e-10,0.13252455879959646,59.62366962881087,
11.46,1.12,44.800000000000004,146.98162729658793,open,0.2441204739538837,0.0,0.1006765875408195,0.0,0.0,0.013401791120910719,0.0011100198609442968,
11.46,1.12,44.800000000000004,146.98162729658793,prop,0.15178663470270382,37.82306242311429,0.10608638422779108,1.511130115682425,0.11272638255939807,0.010277514143138471,8.222910372675617,
11.46,1.12,44.800000000000004,146.98162729658793,mpc,0.07984337463910018,67.29345419254625,0.13769697574313686,3.999288882306976,2.3026142513249734e-46,0.041196791298525486,60.06849912503395,
