model,n_surf_nodes,p_range_Pa,surfP_NRMSE,peak_surfP_NRMSE,peak_time_idx
L6_ds1,387,21906.3828125,0.019189848048799276,0.045980577262013746,26
L6_ds10,387,21906.3828125,0.033864343658579814,0.09069188172717926,26
L12_ds1,387,21906.3828125,0.016473273822430464,0.03806776915938812,26
L12_ds10,387,21906.3828125,0.029431217004925434,0.08895692657177186,26
L24_ds1_s0,387,21906.3828125,0.0420198114437252,0.13058677292256074,26
L24_ds10_s0,387,21906.3828125,0.023759418184697168,0.06166127581430498,26
L24_ds20_s0,387,21906.3828125,0.03357860403931217,0.12006640829923641,26
L24_ds1_s100,387,21906.3828125,0.016591107006038122,0.04103061117318475,26
L24_ds10_s100,387,21906.3828125,0.03394809069898649,0.11441033747298965,26
