sim,d_s,field,region,time_window,nrmse,n_nodes,n_times,rmse,denom,denom_type
sim_A_025,1,p,all,excitation,4.497995e-02,11075,44,4.770462e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,peak,4.516323e-02,11075,28,4.789902e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,decay,4.035103e-02,11075,55,4.279531e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,quiescent,3.942496e-02,11075,51,4.181315e+02,1.060575e+04,global_range_p
sim_A_025,1,p,near,all,5.466293e-02,6283,150,5.797416e+02,1.060575e+04,global_range_p
sim_A_025,1,p,near,excitation,5.925773e-02,6283,44,6.284729e+02,1.060575e+04,global_range_p
sim_A_025,1,p,near,peak,5.945916e-02,6283,28,6.306093e+02,1.060575e+04,global_range_p
sim_A_025,1,p,near,decay,5.319183e-02,6283,55,5.641395e+02,1.060575e+04,global_range_p
sim_A_025,1,p,near,quiescent,5.203410e-02,6283,51,5.518609e+02,1.060575e+04,global_range_p
sim_A_025,1,p,wake,all,4.904759e-03,2234,150,5.201866e+01,1.060575e+04,global_range_p
sim_A_025,1,p,wake,excitation,5.866242e-03,2234,44,6.221593e+01,1.060575e+04,global_range_p
sim_A_025,1,p,wake,peak,6.358527e-03,2234,28,6.743697e+01,1.060575e+04,global_range_p
sim_A_025,1,p,wake,decay,5.045397e-03,2234,55,5.351024e+01,1.060575e+04,global_range_p
sim_A_025,1,p,wake,quiescent,3.689556e-03,2234,51,3.913052e+01,1.060575e+04,global_range_p
sim_A_025,1,p,far,all,9.056496e-03,2558,150,9.605097e+01,1.060575e+04,global_range_p
sim_A_025,1,p,far,excitation,1.022403e-02,2558,44,1.084336e+02,1.060575e+04,global_range_p
sim_A_025,1,p,far,peak,1.058643e-02,2558,28,1.122771e+02,1.060575e+04,global_range_p
sim_A_025,1,p,far,decay,8.810675e-03,2558,55,9.344386e+01,1.060575e+04,global_range_p
sim_A_025,1,p,far,quiescent,8.205831e-03,2558,51,8.702903e+01,1.060575e+04,global_range_p
sim_A_025,1,p,surface,all,3.088991e-02,387,150,3.276108e+02,1.060575e+04,global_range_p
sim_A_025,1,p,surface,excitation,3.494370e-02,387,44,3.706043e+02,1.060575e+04,global_range_p
sim_A_025,1,p,surface,peak,3.467433e-02,387,28,3.677475e+02,1.060575e+04,global_range_p
sim_A_025,1,p,surface,decay,2.923496e-02,387,55,3.100588e+02,1.060575e+04,global_range_p
sim_A_025,1,p,surface,quiescent,2.883140e-02,387,51,3.057787e+02,1.060575e+04,global_range_p
sim_A_025,1,combined,all,all,2.397040e-02,11075,150,2.542242e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,all,excitation,2.600033e-02,11075,44,2.757531e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,all,peak,2.610604e-02,11075,28,2.768742e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,all,decay,2.333077e-02,11075,55,2.474404e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,all,quiescent,2.279679e-02,11075,51,2.417771e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,near,all,3.160103e-02,6283,150,3.351528e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,near,excitation,3.425115e-02,6283,44,3.632592e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,near,peak,3.436732e-02,6283,28,3.644913e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,near,decay,3.075267e-02,6283,55,3.261552e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,near,quiescent,3.008506e-02,6283,51,3.190747e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,wake,all,2.833274e-03,2234,150,3.004901e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,wake,excitation,3.388383e-03,2234,44,3.593635e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,wake,peak,3.672425e-03,2234,28,3.894884e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,wake,decay,2.914349e-03,2234,55,3.090887e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,wake,quiescent,2.131959e-03,2234,51,2.261103e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,far,all,5.274969e-03,2558,150,5.594502e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,far,excitation,5.944669e-03,2558,44,6.304770e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,far,peak,6.152594e-03,2558,28,6.525290e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,far,decay,5.133990e-03,2558,55,5.444984e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,far,quiescent,4.788041e-03,2558,51,5.078078e+01,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,surface,all,1.783883e-02,387,150,1.891943e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,surface,excitation,2.017923e-02,387,44,2.140160e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,surface,peak,2.002382e-02,387,28,2.123678e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,surface,decay,1.688342e-02,387,55,1.790614e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,combined,surface,quiescent,1.665037e-02,387,51,1.765898e+02,1.060575e+04,global_range_all_fields
sim_A_025,1,p_surface,surface,all,3.088991e-02,387,150,3.276108e+02,1.060575e+04,surface_p_range
sim_A_025,1,p_surface,surface,excitation,3.494370e-02,387,44,3.706043e+02,1.060575e+04,surface_p_range
sim_A_025,1,p_surface,surface,peak,3.467433e-02,387,28,3.677475e+02,1.060575e+04,surface_p_range
sim_A_025,1,p_surface,surface,decay,2.923496e-02,387,55,3.100588e+02,1.060575e+04,surface_p_range
sim_A_025,1,p_surface,surface,quiescent,2.883140e-02,387,51,3.057787e+02,1.060575e+04,surface_p_range
sim_A_025,1,vorticity,all,all,6.877717e-01,17989,150,1.224788e+04,1.780807e+04,fom_vorticity_rms
sim_A_025,1,vorticity,all,excitation,6.966631e-01,17989,44,1.325831e+04,1.903117e+04,fom_vorticity_rms
sim_A_025,1,vorticity,all,peak,6.989706e-01,17989,28,1.331616e+04,1.905111e+04,fom_vorticity_rms
sim_A_025,1,vorticity,all,decay,6.806194e-01,17989,55,1.189195e+04,1.747224e+04,fom_vorticity_rms
sim_A_025,1,vorticity,all,quiescent,6.862103e-01,17989,51,1.170649e+04,1.705963e+04,fom_vorticity_rms
sim_A_025,1,vorticity,near,all,6.876727e-01,8931,150,1.737966e+04,2.527316e+04,fom_vorticity_rms
sim_A_025,1,vorticity,near,excitation,6.965680e-01,8931,44,1.881356e+04,2.700893e+04,fom_vorticity_rms
sim_A_025,1,vorticity,near,peak,6.988706e-01,8931,28,1.889549e+04,2.703719e+04,fom_vorticity_rms
sim_A_025,1,vorticity,near,decay,6.805204e-01,8931,55,1.687458e+04,2.479658e+04,fom_vorticity_rms
sim_A_025,1,vorticity,near,quiescent,6.861073e-01,8931,51,1.661134e+04,2.421099e+04,fom_vorticity_rms
sim_A_025,1,vorticity,wake,all,2.727588e+00,4541,150,4.742928e+01,1.738872e+01,fom_vorticity_rms
sim_A_025,1,vorticity,wake,excitation,2.736080e+00,4541,44,4.869655e+01,1.779792e+01,fom_vorticity_rms
