sim,d_s,field,region,component,rmse,nrmse_fullrange,nrmse_fluctrange,rel_to_fluct_rms,n_nodes
sim_A_025,5,p,near,static,6.146604e+02,5.795537e-02,1.196917e-01,3.757526e+00,6283
sim_A_025,5,p,near,dynamic,1.613112e+02,1.520978e-02,3.141183e-02,9.861233e-01,6283
sim_A_025,5,p,wake,static,1.132854e+02,1.068151e-02,2.205986e-02,3.234122e+00,2234
sim_A_025,5,p,wake,dynamic,3.653474e+01,3.444804e-03,7.114343e-03,1.043010e+00,2234
sim_A_025,5,p,far,static,2.209532e+02,2.083333e-02,4.302581e-02,5.064166e+00,2558
sim_A_025,5,p,far,dynamic,4.557523e+01,4.297217e-03,8.874780e-03,1.044567e+00,2558
sim_A_025,5,p,surface,static,3.751796e+02,3.537510e-02,7.305803e-02,1.533490e+00,387
sim_A_025,5,p,surface,dynamic,2.525175e+02,2.380948e-02,4.917226e-02,1.032127e+00,387
sim_A_025,10,vx,all,static,2.484666e+01,1.662203e-01,7.183006e-01,2.453932e+01,11075
sim_A_025,10,vx,all,dynamic,1.150620e+00,7.697467e-03,3.326365e-02,1.136387e+00,11075
sim_A_025,10,vx,near,static,3.100199e+01,2.073985e-01,8.962470e-01,2.386571e+01,6283
sim_A_025,10,vx,near,dynamic,1.459918e+00,9.766623e-03,4.220526e-02,1.123863e+00,6283
sim_A_025,10,vx,wake,static,2.551969e+00,1.707228e-02,7.377575e-02,8.917024e+00,2234
sim_A_025,10,vx,wake,dynamic,3.795106e-01,2.538867e-03,1.097140e-02,1.326076e+00,2234
sim_A_025,10,vx,far,static,1.750614e+01,1.171133e-01,5.060908e-01,3.711984e+01,2558
sim_A_025,10,vx,far,dynamic,6.092147e-01,4.075552e-03,1.761200e-02,1.291773e+00,2558
sim_A_025,10,vx,surface,static,8.821928e+00,5.901733e-02,2.550361e-01,7.094231e+00,387
sim_A_025,10,vx,surface,dynamic,2.025660e+00,1.355135e-02,5.856050e-02,1.628952e+00,387
