t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
5.05600000e-03,-6.49222128e-03,-1.59466211e-04,-8.73002561e-04,1.13477042e-03,166.294430,-7.995150,0.047281,0.175000
5.18240000e-03,-6.49224170e-03,-1.63688563e-04,-8.72857756e-04,1.15651638e-03,166.328870,-7.989259,0.049673,0.175000
5.30880000e-03,-6.49226267e-03,-1.68030925e-04,-8.72710173e-04,1.17869775e-03,166.364151,-7.983220,0.052125,0.175000
5.43520000e-03,-6.49228418e-03,-1.72406900e-04,-8.72559784e-04,1.20085251e-03,166.400121,-7.977071,0.054635,0.175000
5.56160000e-03,-6.49230625e-03,-1.76835199e-04,-8.72406602e-04,1.22289580e-03,166.436621,-7.970854,0.057204,0.175000
5.68800000e-03,-6.49232889e-03,-1.81367055e-04,-8.72250628e-04,1.24512805e-03,166.473487,-7.964607,0.059832,0.175000
5.81440000e-03,-6.49235211e-03,-1.86008350e-04,-8.72091818e-04,1.26769897e-03,166.510552,-7.958371,0.062519,0.175000
5.94080000e-03,-6.49237591e-03,-1.90679761e-04,-8.71930156e-04,1.29023299e-03,166.547648,-7.952186,0.065264,0.175000
6.03560000e-03,-6.49239433e-03,-1.99762753e-04,-8.71806376e-04,1.32818396e-03,166.584611,-7.946091,0.067362,0.350000
6.16200000e-03,-6.49242058e-03,-2.15579581e-04,-8.71634416e-04,1.39265884e-03,166.621278,-7.940121,0.070211,0.350000
6.28840000e-03,-6.49244883e-03,-2.31377183e-04,-8.71454324e-04,1.45684712e-03,166.657496,-7.934312,0.073119,0.350000
6.41480000e-03,-6.49247907e-03,-2.46890636e-04,-8.71266165e-04,1.51944663e-03,166.693118,-7.928695,0.076085,0.350000
6.54120000e-03,-6.49251116e-03,-2.60594091e-04,-8.71070622e-04,1.57298458e-03,166.728011,-7.923299,0.079110,0.350000
6.66760000e-03,-6.49254489e-03,-2.72949982e-04,-8.70868785e-04,1.61973630e-03,166.762052,-7.918148,0.082195,0.350000
6.79400000e-03,-6.49258014e-03,-2.84659729e-04,-8.70661293e-04,1.66313789e-03,166.795131,-7.913262,0.085337,0.350000
6.92040000e-03,-6.49261685e-03,-2.96234557e-04,-8.70448388e-04,1.70559076e-03,166.827156,-7.908660,0.088539,0.350000
7.04680000e-03,-6.49265503e-03,-3.07946625e-04,-8.70230114e-04,1.74819162e-03,166.858050,-7.904352,0.091800,0.350000
7.17320000e-03,-6.49269471e-03,-3.19936339e-04,-8.70006410e-04,1.79158167e-03,166.887751,-7.900347,0.095119,0.350000
7.29960000e-03,-6.49273593e-03,-3.32334389e-04,-8.69777163e-04,1.83591102e-03,166.916216,-7.896650,0.098497,0.350000
7.42600000e-03,-6.49277874e-03,-3.45155743e-04,-8.69542252e-04,1.88118342e-03,166.943417,-7.893258,0.101934,0.350000
7.55240000e-03,-6.49282320e-03,-3.58281989e-04,-8.69301574e-04,1.92696156e-03,166.969344,-7.890169,0.105429,0.350000
7.67880000e-03,-6.49286932e-03,-3.71497068e-04,-8.69055138e-04,1.97224050e-03,166.994000,-7.887374,0.108984,0.350000
