t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.09200000e-02,-6.48968135e-03,3.82206088e-04,-8.75259412e-04,1.12447427e-04,164.514325,-8.324925,0.047999,0.000000
1.12000000e-02,-6.48957303e-03,3.91483455e-04,-8.75227890e-04,1.12701130e-04,164.513506,-8.324864,0.050490,0.000000
1.14800000e-02,-6.48946212e-03,4.00719080e-04,-8.75196310e-04,1.12821653e-04,164.512663,-8.324799,0.053044,0.000000
1.17600000e-02,-6.48934863e-03,4.09931861e-04,-8.75164740e-04,1.12642928e-04,164.511795,-8.324732,0.055660,0.000000
1.20400000e-02,-6.48923256e-03,4.19137942e-04,-8.75133234e-04,1.12396451e-04,164.510901,-8.324662,0.058340,0.000000
1.23200000e-02,-6.48911393e-03,4.28203587e-04,-8.75101801e-04,1.12121841e-04,164.509982,-8.324588,0.061082,0.000000
1.26000000e-02,-6.48899278e-03,4.37160246e-04,-8.75070439e-04,1.11922034e-04,164.509035,-8.324511,0.063887,0.000000
1.28800000e-02,-6.48886912e-03,4.46098946e-04,-8.75039106e-04,1.11931221e-04,164.508061,-8.324431,0.066755,0.000000
1.31600000e-02,-6.48874296e-03,4.55020277e-04,-8.75007735e-04,1.12119143e-04,164.507058,-8.324346,0.069685,0.000000
1.34400000e-02,-6.48861431e-03,4.63894240e-04,-8.74976365e-04,1.11870909e-04,164.506027,-8.324258,0.072678,0.000000
1.37200000e-02,-6.48848318e-03,4.72759277e-04,-8.74945118e-04,1.11279431e-04,164.504966,-8.324166,0.075734,0.000000
1.40000000e-02,-6.48834957e-03,4.81600714e-04,-8.74914063e-04,1.10536464e-04,164.503874,-8.324069,0.078853,0.000000
1.41400000e-02,-6.48828183e-03,4.86065046e-04,-8.74898602e-04,1.10324691e-04,164.502752,-8.323968,0.080436,0.000000
1.44200000e-02,-6.48814449e-03,4.94950621e-04,-8.74867774e-04,1.09869811e-04,164.501599,-8.323862,0.083648,0.000000
1.47000000e-02,-6.48800467e-03,5.03778068e-04,-8.74837079e-04,1.09373643e-04,164.500413,-8.323752,0.086924,0.000000
1.49800000e-02,-6.48786238e-03,5.12534505e-04,-8.74806529e-04,1.08832650e-04,164.499194,-8.323637,0.090262,0.000000
1.52600000e-02,-6.48771765e-03,5.21204638e-04,-8.74776138e-04,1.08239286e-04,164.497942,-8.323518,0.093662,0.000000
1.55400000e-02,-6.48757050e-03,5.29870140e-04,-8.74745919e-04,1.07614346e-04,164.496656,-8.323394,0.097125,0.000000
1.58200000e-02,-6.48742093e-03,5.38481848e-04,-8.74715856e-04,1.07159657e-04,164.495335,-8.323265,0.100651,0.000000
1.61000000e-02,-6.48726896e-03,5.47007432e-04,-8.74685902e-04,1.06777970e-04,164.493978,-8.323132,0.104239,0.000000
1.63800000e-02,-6.48711462e-03,5.55465786e-04,-8.74656074e-04,1.06245070e-04,164.492584,-8.322995,0.107889,0.000000
1.66600000e-02,-6.48695790e-03,5.63908008e-04,-8.74626426e-04,1.05537646e-04,164.491153,-8.322853,0.111603,0.000000
1.69400000e-02,-6.48679883e-03,5.72288999e-04,-8.74596940e-04,1.05111578e-04,164.489684,-8.322707,0.115378,0.000000
1.72200000e-02,-6.48663742e-03,5.80655869e-04,-8.74567596e-04,1.04393278e-04,164.488177,-8.322557,0.119216,0.000000
1.75000000e-02,-6.48647367e-03,5.88993938e-04,-8.74538508e-04,1.03375524e-04,164.486631,-8.322402,0.123117,0.000000
1.76400000e-02,-6.48639092e-03,5.93101337e-04,-8.74524026e-04,1.03507867e-04,164.485044,-8.322243,0.125090,0.000000
1.79200000e-02,-6.48622371e-03,6.01265760e-04,-8.74495010e-04,1.03745787e-04,164.483416,-8.322080,0.129084,0.000000
1.82000000e-02,-6.48605422e-03,6.09362417e-04,-8.74465932e-04,1.03948153e-04,164.481747,-8.321912,0.133141,0.000000
1.84800000e-02,-6.48588247e-03,6.17432746e-04,-8.74436812e-04,1.03972984e-04,164.480035,-8.321741,0.137259,0.000000
1.87600000e-02,-6.48570845e-03,6.25560316e-04,-8.74407755e-04,1.03504044e-04,164.478280,-8.321565,0.141440,0.000000
1.90400000e-02,-6.48553216e-03,6.33644904e-04,-8.74378882e-04,1.02700472e-04,164.476482,-8.321385,0.145683,0.000000
1.93200000e-02,-6.48535362e-03,6.41612954e-04,-8.74350218e-04,1.02115219e-04,164.474639,-8.321201,0.149989,0.000000
1.96000000e-02,-6.48517287e-03,6.49494960e-04,-8.74321695e-04,1.01551513e-04,164.472752,-8.321012,0.154357,0.000000
1.98800000e-02,-6.48498991e-03,6.57338625e-04,-8.74293366e-04,1.00863653e-04,164.470820,-8.320819,0.158787,0.000000
2.01600000e-02,-6.48480476e-03,6.65138552e-04,-8.74265167e-04,1.00567580e-04,164.468842,-8.320621,0.163279,0.000000
2.04400000e-02,-6.48461743e-03,6.72949222e-04,-8.74237089e-04,9.99146879e-05,164.466818,-8.320418,0.167833,0.000000
2.07200000e-02,-6.48442791e-03,6.80739130e-04,-8.74209226e-04,9.91084382e-05,164.464748,-8.320210,0.172449,0.000000
2.10000000e-02,-6.48423622e-03,6.88472275e-04,-8.74181590e-04,9.82811627e-05,164.462630,-8.319998,0.177127,0.000000
2.11400000e-02,-6.48413956e-03,6.92364424e-04,-8.74167838e-04,9.81857109e-05,164.460466,-8.319779,0.179490,0.000000
2.14200000e-02,-6.48394462e-03,7.00091360e-04,-8.74140375e-04,9.79731488e-05,164.458254,-8.319555,0.184261,0.000000
2.17000000e-02,-6.48374752e-03,7.07741252e-04,-8.74112975e-04,9.77320322e-05,164.455994,-8.319326,0.189095,0.000000
2.19800000e-02,-6.48354829e-03,7.15310500e-04,-8.74085648e-04,9.74530402e-05,164.453686,-8.319090,0.193990,0.000000
2.22600000e-02,-6.48334695e-03,7.22800575e-04,-8.74058410e-04,9.70644024e-05,164.451329,-8.318848,0.198948,0.000000
2.25400000e-02,-6.48314352e-03,7.30265060e-04,-8.74031332e-04,9.62847462e-05,164.448924,-8.318599,0.203967,0.000000
2.28200000e-02,-6.48293801e-03,7.37701932e-04,-8.74004506e-04,9.53106678e-05,164.446469,-8.318344,0.209048,0.000000
2.31000000e-02,-6.48273042e-03,7.45064548e-04,-8.73977949e-04,9.44313434e-05,164.443965,-8.318081,0.214191,0.000000
2.33800000e-02,-6.48252078e-03,7.52342336e-04,-8.73951598e-04,9.38396488e-05,164.441411,-8.317812,0.219396,0.000000
2.36600000e-02,-6.48230910e-03,7.59602225e-04,-8.73925374e-04,9.34816743e-05,164.438807,-8.317535,0.224662,0.000000
2.39400000e-02,-6.48209541e-03,7.66798027e-04,-8.73899267e-04,9.29676815e-05,164.436152,-8.317251,0.229991,0.000000
2.42200000e-02,-6.48187970e-03,7.73947185e-04,-8.73873297e-04,9.25803186e-05,164.433445,-8.316958,0.235381,0.000000
2.45000000e-02,-6.48166200e-03,7.81036368e-04,-8.73847410e-04,9.23175977e-05,164.430687,-8.316658,0.240832,0.000000
2.46400000e-02,-6.48155240e-03,7.84671051e-04,-8.73834501e-04,9.21021905e-05,164.427877,-8.316350,0.243581,0.000000
2.49200000e-02,-6.48133168e-03,7.91876655e-04,-8.73808774e-04,9.16547071e-05,164.425014,-8.316034,0.249126,0.000000
2.52000000e-02,-6.48110896e-03,7.98996733e-04,-8.73783176e-04,9.11854067e-05,164.422097,-8.315710,0.254731,0.000000
2.54800000e-02,-6.48088425e-03,8.06018582e-04,-8.73757706e-04,9.07904173e-05,164.419126,-8.315378,0.260399,0.000000
2.57600000e-02,-6.48065760e-03,8.12920340e-04,-8.73732307e-04,9.06491737e-05,164.416100,-8.315038,0.266127,0.000000
2.60400000e-02,-6.48042903e-03,8.19748130e-04,-8.73706948e-04,9.04685000e-05,164.413018,-8.314690,0.271918,0.000000
2.63200000e-02,-6.48019854e-03,8.26537176e-04,-8.73681655e-04,9.01802075e-05,164.409879,-8.314333,0.277769,0.000000
2.66000000e-02,-6.47996617e-03,8.33279592e-04,-8.73656432e-04,9.00515166e-05,164.406683,-8.313969,0.283683,0.000000
2.68800000e-02,-6.47973191e-03,8.39984891e-04,-8.73631194e-04,9.02326767e-05,164.403429,-8.313596,0.289657,0.000000
2.71600000e-02,-6.47949577e-03,8.46709200e-04,-8.73605905e-04,9.03635919e-05,164.400115,-8.313216,0.295693,0.000000
2.74400000e-02,-6.47925776e-03,8.53377141e-04,-8.73580634e-04,9.00890946e-05,164.396740,-8.312828,0.301790,0.000000
2.77200000e-02,-6.47901789e-03,8.59969532e-04,-8.73555431e-04,9.00058050e-05,164.393305,-8.312432,0.307949,0.000000
2.80000000e-02,-6.47877619e-03,8.66476962e-04,-8.73530210e-04,9.01451513e-05,164.389806,-8.312029,0.314168,0.000000
2.81400000e-02,-6.47865465e-03,8.69801098e-04,-8.73517578e-04,9.03111534e-05,164.386245,-8.311619,0.317301,0.000000
2.84200000e-02,-6.47841018e-03,8.76379904e-04,-8.73492246e-04,9.06283257e-05,164.382618,-8.311201,0.323613,0.000000
2.87000000e-02,-6.47816388e-03,8.82865643e-04,-8.73466828e-04,9.09257479e-05,164.378926,-8.310776,0.329985,0.000000
2.89800000e-02,-6.47791578e-03,8.89287165e-04,-8.73441331e-04,9.11703852e-05,164.375167,-8.310344,0.336419,0.000000
2.92600000e-02,-6.47766588e-03,8.95700783e-04,-8.73415783e-04,9.13157107e-05,164.371341,-8.309905,0.342913,0.000000
2.95400000e-02,-6.47741420e-03,9.02028272e-04,-8.73390184e-04,9.15634896e-05,164.367446,-8.309460,0.349469,0.000000
2.98200000e-02,-6.47716075e-03,9.08277283e-04,-8.73364477e-04,9.21232676e-05,164.363480,-8.309007,0.356086,0.000000
3.01000000e-02,-6.47690556e-03,9.14506974e-04,-8.73338596e-04,9.26678492e-05,164.359444,-8.308548,0.362763,0.000000
3.03800000e-02,-6.47664863e-03,9.20729774e-04,-8.73312602e-04,9.30773286e-05,164.355336,-8.308082,0.369502,0.000000
3.06600000e-02,-6.47638996e-03,9.26857484e-04,-8.73286422e-04,9.39985870e-05,164.351155,-8.307609,0.376301,0.000000
3.09400000e-02,-6.47612960e-03,9.32902676e-04,-8.73259928e-04,9.52864764e-05,164.346900,-8.307130,0.383161,0.000000
3.12200000e-02,-6.47586754e-03,9.38908238e-04,-8.73233070e-04,9.65244581e-05,164.342571,-8.306644,0.390082,0.000000
3.15000000e-02,-6.47560381e-03,9.44852981e-04,-8.73205885e-04,9.76451197e-05,164.338165,-8.306150,0.397063,0.000000
3.16400000e-02,-6.47547132e-03,9.47889508e-04,-8.73192154e-04,9.85164261e-05,164.333683,-8.305650,0.400577,0.000000
3.19200000e-02,-6.47520507e-03,9.53887974e-04,-8.73164327e-04,1.00240924e-04,164.329123,-8.305142,0.407649,0.000000
3.22000000e-02,-6.47493715e-03,9.59786617e-04,-8.73136021e-04,1.01940618e-04,164.324485,-8.304627,0.414782,0.000000
3.24800000e-02,-6.47466760e-03,9.65623063e-04,-8.73107257e-04,1.03420707e-04,164.319769,-8.304105,0.421976,0.000000
3.27600000e-02,-6.47439640e-03,9.71480502e-04,-8.73078167e-04,1.04317278e-04,164.314972,-8.303574,0.429230,0.000000
3.30400000e-02,-6.47412357e-03,9.77316997e-04,-8.73048834e-04,1.05218471e-04,164.310095,-8.303036,0.436544,0.000000
3.33200000e-02,-6.47384911e-03,9.83140127e-04,-8.73019244e-04,1.06135955e-04,164.305136,-8.302488,0.443919,0.000000
3.36000000e-02,-6.47357301e-03,9.88922377e-04,-8.72989393e-04,1.07102709e-04,164.300096,-8.301933,0.451355,0.000000
3.38800000e-02,-6.47329531e-03,9.94645797e-04,-8.72959253e-04,1.08218012e-04,164.294973,-8.301368,0.458850,0.000000
3.41600000e-02,-6.47301601e-03,1.00035020e-03,-8.72928772e-04,1.09513914e-04,164.289767,-8.300793,0.466406,0.000000
3.44400000e-02,-6.47273512e-03,1.00604561e-03,-8.72897930e-04,1.10782817e-04,164.284477,-8.300209,0.474022,0.000000
3.47200000e-02,-6.47245263e-03,1.01171924e-03,-8.72866722e-04,1.12156003e-04,164.279103,-8.299615,0.481698,0.000000
3.50000000e-02,-6.47216856e-03,1.01732635e-03,-8.72835116e-04,1.13601283e-04,164.273644,-8.299011,0.489435,0.000000
3.51400000e-02,-6.47202594e-03,1.02017158e-03,-8.72819136e-04,1.14682140e-04,164.268100,-8.298395,0.493326,0.000000
3.54200000e-02,-6.47173950e-03,1.02578264e-03,-8.72786725e-04,1.16820109e-04,164.262469,-8.297769,0.501152,0.000000
3.57000000e-02,-6.47145151e-03,1.03128749e-03,-8.72753720e-04,1.18925567e-04,164.256752,-8.297131,0.509039,0.000000
3.59800000e-02,-6.47116199e-03,1.03674368e-03,-8.72720139e-04,1.20859491e-04,164.250948,-8.296480,0.516985,0.000000
3.62600000e-02,-6.47087093e-03,1.04224733e-03,-8.72686075e-04,1.22524020e-04,164.245056,-8.295818,0.524991,0.000000
3.65400000e-02,-6.47057835e-03,1.04756171e-03,-8.72651412e-04,1.25242853e-04,164.239075,-8.295143,0.533058,0.000000
3.68200000e-02,-6.47028429e-03,1.05289628e-03,-8.72615954e-04,1.27935054e-04,164.233006,-8.294455,0.541184,0.000000
