phase,kind,step,train_loss,valid_loss,wall_s
adam_r0,iter,0,1.001627446761223,0.972433199021071,30.217344999313354
adam_r0,iter,1,1.0629086059538226,1.0259723379464158,38.795939445495605
adam_r0,iter,2,0.5602778810483247,0.5739390395089187,48.03493142127991
adam_r0,iter,3,0.5730249843453453,0.5978775949183511,56.09779071807861
adam_r0,iter,4,0.4802155471738066,0.4813205471937687,62.19820833206177
adam_r0,iter,5,0.370544384523422,0.3769968272015061,69.25395154953003
adam_r0,iter,6,0.3487905369693537,0.34597316360717756,78.742178440094
adam_r0,iter,7,0.46841310236522404,0.4767138045442694,86.9638512134552
adam_r0,iter,8,0.39096849959725316,0.39377780934151674,95.00818824768066
adam_r0,iter,9,0.30065003704533405,0.30335310468892607,101.63849306106567
adam_r0,iter,10,0.3330668079445116,0.33742951079866856,109.67441487312317
adam_r0,iter,11,0.3423611132010191,0.3453862251892045,116.77767181396484
adam_r0,iter,12,0.2905857706911296,0.2925840167148391,123.40508389472961
adam_r0,iter,13,0.42330320042521163,0.4249994262469492,130.78144335746765
adam_r0,iter,14,0.35580762211654937,0.3568151405824183,138.04660749435425
adam_r0,iter,15,0.47266231725623464,0.47046377862918126,145.83849716186523
adam_r0,iter,16,0.287589616097472,0.28866388934131876,153.78946590423584
adam_r0,iter,17,0.2619545479481466,0.263555965207218,163.8037769794464
adam_r0,iter,18,0.5290951631893813,0.5311240400374098,170.9665868282318
adam_r0,iter,19,0.33472142094869445,0.33843590191601425,178.71506881713867
adam_r0,iter,20,0.31402494187149743,0.3169106091741677,186.5248246192932
adam_r0,iter,21,0.23694897612729365,0.23725399912381018,193.11881828308105
adam_r0,iter,22,0.2314996678223514,0.23341375633512265,201.12085366249084
adam_r0,iter,23,0.19993887829547943,0.2026063673470976,209.470552444458
adam_r0,iter,24,0.17681511592997917,0.17875890767660138,219.29053902626038
adam_r0,iter,25,0.1659850420426827,0.1680902188887942,227.11909818649292
adam_r0,iter,26,0.15664532232335956,0.15874317910879956,234.73286938667297
adam_r0,iter,27,0.13357531706827788,0.13604192740863366,242.82833194732666
adam_r0,iter,28,0.11485482105135592,0.11649552276332914,251.15961265563965
adam_r0,iter,29,0.11553176950561234,0.11671393753394367,260.01329350471497
adam_r0,iter,30,0.10010514475489929,0.10143652268283183,267.88580203056335
adam_r0,iter,31,0.10070934598577787,0.1030270855346688,278.2267677783966
adam_r0,iter,32,0.08282179484724664,0.08501044704517839,285.84160923957825
adam_r0,iter,33,0.07955267996420859,0.08162967913647198,293.72954630851746
adam_r0,iter,34,0.07130190495029402,0.07270689378365805,301.58876180648804
adam_r0,iter,35,0.0637379523026521,0.06569299192354842,309.2870967388153
adam_r0,iter,36,0.05807719608832011,0.05951274055574419,317.8433859348297
adam_r0,iter,37,0.05257447032001835,0.054292103875972254,326.2417402267456
adam_r0,iter,38,0.04804297001100461,0.049943100729782676,334.33987307548523
adam_r0,iter,39,0.04460084448906012,0.04648928184559527,342.89311361312866
adam_r0,iter,40,0.039215416881466916,0.04104038862680032,351.4946093559265
adam_r0,iter,41,0.03745672880862675,0.03921318389787298,359.7821292877197
adam_r0,iter,42,0.03517059504160195,0.0369045161609072,367.03620648384094
adam_r0,iter,43,0.03281645266780265,0.034568880340027364,376.0369200706482
adam_r0,iter,44,0.030610216397280638,0.032437499018062116,384.40895342826843
adam_r0,iter,45,0.027741467947138474,0.029642411993672912,392.1325023174286
adam_r0,iter,46,0.02490992060968803,0.026844007857346683,400.5993275642395
adam_r0,iter,47,0.022864219191780426,0.024782783692652993,409.26180267333984
adam_r0,iter,48,0.021490088208111872,0.023376783768606347,417.36358857154846
adam_r0,iter,49,0.019816469789500427,0.02167725656564943,425.95360231399536
adam_r0,iter,50,0.01816611268709484,0.020015815060717077,434.3018147945404
adam_r0,iter,51,0.01656085680485622,0.018406349873891822,442.2833149433136
adam_r0,iter,52,0.01518268030435431,0.017036508117216177,450.5255641937256
adam_r0,iter,53,0.01412789191944161,0.01599429075418743,458.5032641887665
adam_r0,iter,54,0.013139506039964152,0.01499735348639773,466.4680550098419
adam_r0,iter,55,0.012415492929876005,0.014241291842694096,474.8190517425537
adam_r0,iter,56,0.011729288667897048,0.013525600855402506,483.015873670578
adam_r0,iter,57,0.011053077323487587,0.012846622581541291,490.91737365722656
adam_r0,iter,58,0.01036659586558096,0.012180850855059964,499.18289279937744
adam_r0,iter,59,0.00971759481010168,0.011551957826247244,506.95829725265503
adam_r0,iter,60,0.009121169983154608,0.01095371611995451,515.0998849868774
adam_r0,iter,61,0.008547563782416022,0.010357539539027629,524.5517752170563
adam_r0,iter,62,0.008041034895968439,0.009825470507753311,532.8816885948181
adam_r0,iter,63,0.00760367363486447,0.009374521855964374,542.0884885787964
adam_r0,iter,64,0.007197156512284008,0.00896995557832214,550.5401780605316
adam_r0,iter,65,0.006834876052720779,0.008618331563798315,558.6893842220306
adam_r0,iter,66,0.006518213107449319,0.008309718013812214,567.177928686142
